cohort_month,cohort_customers,month_index,active_customers,retention_pct
2024-11-01,1703,0.0,201,11.80
2024-11-01,1703,1.0,295,17.32
2024-11-01,1703,2.0,276,16.21
2024-11-01,1703,3.0,272,15.97
2024-11-01,1703,4.0,259,15.21
2024-11-01,1703,5.0,215,12.62
2024-11-01,1703,6.0,165,9.69
2024-12-01,953,0.0,100,10.49
2024-12-01,953,1.0,183,19.20
2024-12-01,953,2.0,152,15.95
2024-12-01,953,3.0,150,15.74
2024-12-01,953,4.0,144,15.11
2024-12-01,953,5.0,103,10.81
2024-12-01,953,6.0,63,6.61
2025-01-01,800,0.0,90,11.25
2025-01-01,800,1.0,134,16.75
2025-01-01,800,2.0,137,17.13
2025-01-01,800,3.0,134,16.75
2025-01-01,800,4.0,102,12.75
2025-01-01,800,5.0,74,9.25
2025-01-01,800,6.0,57,7.13
2025-02-01,661,0.0,49,7.41
2025-02-01,661,1.0,117,17.70
2025-02-01,661,2.0,114,17.25
2025-02-01,661,3.0,106,16.04
2025-02-01,661,4.0,77,11.65
2025-02-01,661,5.0,55,8.32
2025-02-01,661,6.0,38,5.75
2025-03-01,597,0.0,70,11.73
2025-03-01,597,1.0,99,16.58
2025-03-01,597,2.0,90,15.08
2025-03-01,597,3.0,70,11.73
2025-03-01,597,4.0,58,9.72
2025-03-01,597,5.0,46,7.71
2025-03-01,597,6.0,23,3.85
2025-04-01,544,0.0,46,8.46
2025-04-01,544,1.0,95,17.46
2025-04-01,544,2.0,82,15.07
2025-04-01,544,3.0,68,12.50
2025-04-01,544,4.0,44,8.09
2025-04-01,544,5.0,25,4.60
2025-04-01,544,6.0,23,4.23
2025-05-01,533,0.0,38,7.13
2025-05-01,533,1.0,93,17.45
2025-05-01,533,2.0,89,16.70
2025-05-01,533,3.0,54,10.13
2025-05-01,533,4.0,37,6.94
2025-05-01,533,5.0,11,2.06
2025-05-01,533,6.0,7,1.31
2025-06-01,523,0.0,52,9.94
2025-06-01,523,1.0,96,18.36
2025-06-01,523,2.0,61,11.66
2025-06-01,523,3.0,41,7.84
2025-06-01,523,4.0,14,2.68
2025-06-01,523,5.0,9,1.72
2025-06-01,523,6.0,6,1.15
2025-07-01,496,0.0,47,9.48
2025-07-01,496,1.0,93,18.75
2025-07-01,496,2.0,55,11.09
2025-07-01,496,3.0,22,4.44
2025-07-01,496,4.0,7,1.41
2025-07-01,496,5.0,6,1.21
2025-08-01,511,0.0,47,9.20
2025-08-01,511,1.0,74,14.48
2025-08-01,511,2.0,31,6.07
2025-08-01,511,3.0,15,2.94
2025-08-01,511,4.0,15,2.94
2025-09-01,450,0.0,45,10.00
2025-09-01,450,1.0,59,13.11
2025-09-01,450,2.0,23,5.11
2025-09-01,450,3.0,9,2.00
2025-10-01,429,0.0,30,6.99
2025-10-01,429,1.0,39,9.09
2025-10-01,429,2.0,9,2.10
2025-11-01,391,0.0,36,9.21
2025-11-01,391,1.0,18,4.60
2025-12-01,409,0.0,20,4.89
