customer_id,signup_date,city,acquisition_channel,gender,age_group
1,2025-07-25,Kolkata,Direct,Male,45-54
2,2025-07-31,Kochi,Affiliate,Female,25-34
3,2025-06-18,Chandigarh,Paid Search,Female,45-54
4,2025-04-03,Bhopal,Paid Social,Male,18-24
5,2025-09-11,Hyderabad,Email,Male,25-34
6,2024-11-24,Ahmedabad,Email,Female,25-34
7,2025-07-08,Bhopal,Paid Search,Female,18-24
8,2025-02-28,Ahmedabad,Paid Search,Male,45-54
9,2025-06-14,Bengaluru,Paid Social,Female,18-24
10,2025-07-24,Bengaluru,Paid Search,Female,18-24
11,2025-04-09,Bhopal,Organic Search,Female,45-54
12,2024-11-02,Chandigarh,Paid Social,Female,45-54
13,2025-01-28,Ahmedabad,Email,Male,45-54
14,2025-01-28,Gorakhpur,Direct,Male,25-34
15,2025-06-04,Delhi,Paid Social,Other,45-54
16,2025-04-03,Hyderabad,Direct,Male,18-24
17,2025-12-16,Indore,Paid Search,Male,45-54
18,2025-09-08,Chennai,Paid Social,Female,25-34
19,2025-11-19,Mumbai,Direct,Female,45-54
20,2025-05-15,Bhopal,Referral,Female,25-34
21,2024-11-06,Ahmedabad,Paid Search,Male,18-24
22,2024-12-15,Ahmedabad,Organic Search,Female,25-34
23,2025-07-29,Delhi,Affiliate,Female,35-44
24,2024-12-12,Lucknow,Email,Female,35-44
25,2024-12-13,Gorakhpur,Email,Female,45-54
26,2025-01-02,Lucknow,Organic Search,Male,25-34
27,2025-05-20,Ahmedabad,Paid Search,Female,35-44
28,2025-11-21,Chandigarh,Direct,Female,45-54
29,2025-02-10,Delhi,Paid Social,Male,45-54
30,2024-12-14,Kochi,Paid Social,Male,45-54
31,2025-11-04,Kolkata,Paid Search,Male,25-34
32,2025-02-02,Chennai,Paid Social,Male,45-54
33,2025-09-22,Indore,Organic Search,Male,18-24
34,2024-12-22,Lucknow,Direct,Female,18-24
35,2024-11-30,Indore,Affiliate,Male,25-34
36,2025-03-12,Chennai,Email,Female,18-24
37,2024-12-06,Indore,Organic Search,Female,45-54
38,2025-11-04,Indore,Direct,Female,25-34
39,2025-04-14,Kolkata,Affiliate,Female,35-44
40,2025-01-04,Bhopal,Paid Social,Female,18-24
