month,channel,spend_inr,impressions,clicks
2024-11-01,Organic Search,0,53449,1391
2024-11-01,Paid Social,371539,1775886,61137
2024-11-01,Paid Search,537955,2542427,95723
2024-11-01,Direct,0,143551,1978
2024-11-01,Affiliate,180389,615304,25523
2024-11-01,Email,53540,153157,6236
2024-11-01,Referral,0,146841,1576
2024-12-01,Organic Search,0,162376,4902
2024-12-01,Paid Social,381673,1213983,32070
2024-12-01,Paid Search,403216,1649105,32880
2024-12-01,Direct,0,190812,2591
2024-12-01,Affiliate,173445,529694,15451
2024-12-01,Email,56257,213936,4583
2024-12-01,Referral,0,100882,2632
2025-01-01,Organic Search,0,57324,1679
2025-01-01,Paid Social,486251,2649939,68633
2025-01-01,Paid Search,513686,3108335,39191
2025-01-01,Direct,0,179461,5976
2025-01-01,Affiliate,155656,594920,8003
2025-01-01,Email,35528,158965,1732
2025-01-01,Referral,0,190864,6390
2025-02-01,Organic Search,0,137818,5005
2025-02-01,Paid Social,446475,2809572,102648
2025-02-01,Paid Search,379778,1691626,66206
2025-02-01,Direct,0,62015,2077
2025-02-01,Affiliate,149179,499211,19757
2025-02-01,Email,53163,209222,9376
2025-02-01,Referral,0,60238,1201
2025-03-01,Organic Search,0,125791,5462
2025-03-01,Paid Social,395439,2178244,75548
2025-03-01,Paid Search,513072,1810982,67990
2025-03-01,Direct,0,176294,1995
2025-03-01,Affiliate,113574,365839,11491
2025-03-01,Email,44533,279999,3909
2025-03-01,Referral,0,156969,2333
2025-04-01,Organic Search,0,100612,4078
2025-04-01,Paid Social,390101,1174196,52002
2025-04-01,Paid Search,437493,1682268,71084
2025-04-01,Direct,0,63675,1406
2025-04-01,Affiliate,111869,605834,22900
2025-04-01,Email,53011,303601,13524
2025-04-01,Referral,0,181504,3086
2025-05-01,Organic Search,0,151971,2806
2025-05-01,Paid Social,356683,1290308,13056
2025-05-01,Paid Search,344363,1083162,18534
2025-05-01,Direct,0,106622,4338
2025-05-01,Affiliate,127530,435966,9819
2025-05-01,Email,41794,150897,2092
2025-05-01,Referral,0,56689,2065
2025-06-01,Organic Search,0,68182,1790
2025-06-01,Paid Social,416016,1264360,15713
2025-06-01,Paid Search,532767,1714901,41078
2025-06-01,Direct,0,184946,7543
2025-06-01,Affiliate,136006,444143,18881
2025-06-01,Email,45587,257369,9500
2025-06-01,Referral,0,54969,1626
2025-07-01,Organic Search,0,99714,2304
2025-07-01,Paid Social,459236,1642000,27177
2025-07-01,Paid Search,322813,993223,13444
2025-07-01,Direct,0,177451,6586
2025-07-01,Affiliate,112937,734312,20281
2025-07-01,Email,46381,165944,2369
2025-07-01,Referral,0,124580,3672
2025-08-01,Organic Search,0,165678,3292
2025-08-01,Paid Social,395457,2170290,47113
2025-08-01,Paid Search,534247,1741875,46897
2025-08-01,Direct,0,143900,5438
2025-08-01,Affiliate,170744,1074838,38923
2025-08-01,Email,39259,221736,3861
2025-08-01,Referral,0,153476,3424
2025-09-01,Organic Search,0,114725,4303
2025-09-01,Paid Social,467807,1572448,32797
2025-09-01,Paid Search,355220,2179361,29178
2025-09-01,Direct,0,65387,1894
2025-09-01,Affiliate,157161,802248,33515
2025-09-01,Email,56455,296216,6918
2025-09-01,Referral,0,187075,6635
2025-10-01,Organic Search,0,154105,3305
2025-10-01,Paid Social,388435,1534538,32492
2025-10-01,Paid Search,356512,1052650,42313
2025-10-01,Direct,0,122793,3638
2025-10-01,Affiliate,167991,528659,14235
2025-10-01,Email,57394,281717,7583
2025-10-01,Referral,0,92090,2877
2025-11-01,Organic Search,0,136300,3368
2025-11-01,Paid Social,341601,1851045,54658
2025-11-01,Paid Search,533436,3509337,128514
2025-11-01,Direct,0,100278,2087
2025-11-01,Affiliate,169296,881944,30340
2025-11-01,Email,56902,253199,9570
2025-11-01,Referral,0,56080,1399
2025-12-01,Organic Search,0,172193,4034
2025-12-01,Paid Social,411033,1257977,49865
2025-12-01,Paid Search,508553,2465381,103430
2025-12-01,Direct,0,105725,3225
2025-12-01,Affiliate,107066,359703,3827
2025-12-01,Email,42001,220892,3941
2025-12-01,Referral,0,66081,1647
