month,sessions,purchase_sessions,conversion_rate_pct,conv_rate_3mo_avg
2024-11-01,2395,244,10.19,10.19
2024-12-01,5264,468,8.89,9.54
2025-01-01,7050,640,9.08,9.39
2025-02-01,7846,708,9.02,9.00
2025-03-01,9528,867,9.10,9.07
2025-04-01,9089,876,9.64,9.25
2025-05-01,8926,791,8.86,9.20
2025-06-01,7969,695,8.72,9.07
2025-07-01,7362,691,9.39,8.99
2025-08-01,6225,575,9.24,9.11
2025-09-01,4797,454,9.46,9.36
2025-10-01,3547,284,8.01,8.90
2025-11-01,2247,220,9.79,9.09
2025-12-01,1302,129,9.91,9.24
