order_id,customer_id,session_id,order_date,order_status,payment_method,discount_pct,total_amount
1,4,17,2025-09-16,Delivered,UPI,5,1758.45
2,6,27,2025-02-13,Delivered,UPI,20,880.8
3,6,32,2025-05-05,Delivered,Credit Card,20,1739.2
4,6,34,2025-06-21,Delivered,UPI,15,2012.8
5,6,35,2025-06-22,Delivered,UPI,10,844.2
6,11,51,2025-05-14,Delivered,COD,10,2989.8
7,11,54,2025-05-27,Delivered,UPI,5,3659.4
8,11,58,2025-11-10,Delivered,COD,5,1414.55
9,12,74,2025-02-19,Delivered,UPI,20,1564.0
10,12,78,2025-04-02,Delivered,Debit Card,0,1066.0
11,13,90,2025-05-05,Returned,Credit Card,0,1709.0
12,14,103,2025-02-25,Delivered,COD,5,8574.7
13,14,106,2025-04-25,Delivered,Debit Card,10,4557.6
14,15,116,2025-06-25,Delivered,UPI,10,3923.1
15,15,121,2025-07-12,Delivered,COD,0,4359.0
16,16,134,2025-05-22,Delivered,UPI,30,604.8
17,16,138,2025-06-15,Delivered,UPI,0,3720.0
18,23,175,2025-08-14,Delivered,Debit Card,0,5115.0
19,24,189,2025-04-16,Delivered,UPI,0,2533.0
20,29,217,2025-03-13,Delivered,COD,0,1385.0
21,29,219,2025-04-29,Returned,UPI,5,1534.25
22,29,226,2025-09-12,Delivered,Credit Card,0,1995.0
23,30,235,2025-02-05,Delivered,Credit Card,10,6263.1
24,33,255,2025-10-09,Delivered,COD,0,2439.0
25,34,270,2025-04-01,Delivered,Credit Card,20,844.8
26,34,271,2025-04-02,Delivered,Credit Card,15,3342.2
27,34,272,2025-04-05,Delivered,Credit Card,10,3496.5
28,34,276,2025-04-27,Delivered,Credit Card,0,10530.0
29,34,277,2025-04-28,Delivered,UPI,15,222.7
30,35,285,2025-06-17,Cancelled,Debit Card,10,2655.0
31,39,305,2025-04-15,Delivered,Credit Card,0,698.0
32,39,310,2025-04-30,Delivered,Debit Card,0,4028.0
33,39,312,2025-05-13,Returned,UPI,10,2720.7
34,40,333,2025-06-07,Delivered,UPI,20,2244.8
35,41,336,2025-09-28,Delivered,UPI,0,1048.0
36,42,342,2025-07-17,Delivered,UPI,0,4316.0
37,44,362,2025-01-08,Delivered,UPI,10,1165.5
38,44,376,2025-04-14,Delivered,UPI,5,1259.7
39,45,381,2025-06-27,Delivered,COD,0,2438.0
40,45,386,2025-09-12,Delivered,UPI,0,12692.0
41,47,395,2025-02-20,Delivered,COD,15,4289.1
42,47,401,2025-08-01,Delivered,COD,5,2660.0
43,47,403,2025-09-15,Delivered,UPI,5,4060.3
44,48,408,2025-04-07,Delivered,Net Banking,10,5014.8
45,51,432,2025-07-22,Delivered,COD,10,814.5
46,51,434,2025-10-04,Delivered,Debit Card,20,2210.4
47,51,435,2025-10-28,Delivered,UPI,10,911.7
48,52,440,2025-01-07,Delivered,Debit Card,0,1684.0
49,52,442,2025-02-08,Delivered,Credit Card,15,1427.15
50,55,473,2025-05-21,Delivered,COD,0,7552.0
51,55,477,2025-06-26,Delivered,UPI,0,802.0
52,60,510,2025-01-05,Delivered,UPI,0,3001.0
53,62,544,2025-03-28,Delivered,UPI,0,1372.0
54,63,547,2025-04-04,Delivered,COD,0,2961.0
55,63,551,2025-08-06,Delivered,Net Banking,10,547.2
56,64,553,2025-08-06,Delivered,UPI,15,2621.4
57,65,567,2025-03-03,Delivered,UPI,10,4124.7
58,66,584,2025-10-18,Returned,Credit Card,5,517.75
59,67,594,2025-06-23,Delivered,UPI,20,751.2
60,68,600,2025-10-08,Delivered,UPI,0,2404.0
61,70,607,2025-08-11,Delivered,COD,15,1173.0
62,71,634,2025-04-05,Delivered,Credit Card,5,3019.1
63,72,644,2025-08-07,Delivered,UPI,5,4799.4
64,74,661,2025-05-12,Delivered,COD,0,1478.0
65,74,666,2025-06-19,Delivered,UPI,5,1786.0
66,75,670,2025-04-14,Delivered,COD,0,2976.0
67,76,696,2025-05-12,Delivered,UPI,0,2869.0
68,76,699,2025-06-09,Delivered,UPI,0,4808.0
69,79,714,2025-07-05,Returned,Net Banking,0,812.0
70,80,726,2024-12-27,Delivered,Net Banking,0,5511.0
71,80,736,2025-02-15,Delivered,Net Banking,5,1509.55
72,80,741,2025-03-04,Delivered,Credit Card,10,4873.5
73,81,743,2025-08-25,Delivered,UPI,5,1035.5
74,82,756,2025-09-02,Delivered,UPI,10,1080.9
75,84,765,2025-06-08,Delivered,UPI,0,4648.0
76,84,769,2025-07-04,Delivered,Credit Card,10,468.9
77,85,782,2025-06-10,Delivered,Debit Card,0,1426.0
78,86,792,2025-09-18,Delivered,UPI,10,2907.0
79,88,806,2025-08-04,Delivered,Debit Card,0,4613.0
80,90,816,2025-03-16,Delivered,UPI,0,3046.0
81,90,819,2025-05-07,Delivered,COD,0,6022.0
82,90,820,2025-05-28,Delivered,Credit Card,5,2342.7
83,92,827,2025-08-16,Returned,UPI,5,992.75
84,95,862,2025-06-17,Delivered,COD,0,2014.0
85,96,876,2025-10-17,Delivered,Debit Card,5,3440.9
86,102,930,2025-10-12,Delivered,COD,5,15137.3
87,103,933,2025-02-27,Returned,Debit Card,15,1033.6
88,103,936,2025-03-31,Delivered,Credit Card,0,3333.0
89,103,938,2025-04-20,Delivered,UPI,0,12104.0
90,103,939,2025-05-20,Delivered,UPI,10,4833.9
91,105,946,2025-06-30,Delivered,UPI,0,6493.0
92,105,951,2025-10-18,Delivered,Net Banking,15,3972.05
