product_id,category,sub_category,brand,list_price,unit_cost
1,Men's Apparel,T-Shirts,Aravalli,1502,652
2,Accessories,Bags,Carryall,2368,1005
3,Women's Apparel,Leggings,Aravalli,2438,1320
4,Women's Apparel,Sarees,Zariya,1235,537
5,Men's Apparel,Jeans,Aravalli,2971,1503
6,Accessories,Bags,Solstice,1780,802
7,Men's Apparel,T-Shirts,Denimo,1684,810
8,Accessories,Belts,Carryall,1392,720
9,Women's Apparel,Leggings,Meraki,2492,1134
10,Footwear,Sneakers,Strydo,2642,1199
11,Beauty,Makeup,PureSkin,1138,504
12,Women's Apparel,Dresses,Zariya,2353,1071
13,Women's Apparel,Leggings,Aravalli,791,412
14,Accessories,Bags,TimeKeep,2466,1419
15,Men's Apparel,T-Shirts,Aravalli,1892,932
16,Footwear,Sandals,SprintX,2221,1004
17,Footwear,Sandals,SprintX,3452,1461
18,Footwear,Formal Shoes,Strydo,4595,2468
19,Men's Apparel,Jackets,Denimo,1024,517
20,Beauty,Haircare,Glowly,1016,588
21,Footwear,Sports Shoes,SprintX,2014,955
22,Beauty,Makeup,Glowly,1491,640
23,Men's Apparel,T-Shirts,Aravalli,789,358
24,Women's Apparel,Leggings,Aravalli,2536,1103
25,Accessories,Belts,TimeKeep,520,223
26,Footwear,Sneakers,Strydo,3195,1558
27,Footwear,Sports Shoes,Strydo,4308,2259
28,Beauty,Skincare,Glowly,1184,538
29,Accessories,Bags,Carryall,1385,645
30,Beauty,Makeup,NatureLux,644,370
31,Beauty,Makeup,NatureLux,1395,692
32,Beauty,Skincare,Glowly,339,175
33,Women's Apparel,Sarees,Chiffon Co,1607,696
34,Beauty,Makeup,NatureLux,687,318
35,Women's Apparel,Tops,Aravalli,896,519
36,Men's Apparel,T-Shirts,Denimo,2571,1442
37,Footwear,Formal Shoes,Strydo,3880,2240
38,Beauty,Skincare,NatureLux,474,219
39,Men's Apparel,Jackets,Denimo,1614,730
40,Footwear,Sports Shoes,ComfortWalk,3597,1536
41,Footwear,Sandals,SprintX,4035,2150
42,Beauty,Skincare,Glowly,1316,560
43,Footwear,Sandals,ComfortWalk,2261,1275
44,Women's Apparel,Dresses,Chiffon Co,2892,1561
45,Women's Apparel,Dresses,Meraki,700,384
46,Women's Apparel,Tops,Meraki,2165,986
47,Accessories,Belts,TimeKeep,1090,515
48,Men's Apparel,Jeans,Aravalli,2585,1474
49,Men's Apparel,Jeans,Denimo,2877,1408
50,Footwear,Sports Shoes,SprintX,2576,1100
51,Accessories,Bags,Solstice,1106,541
52,Footwear,Formal Shoes,SprintX,3076,1452
53,Footwear,Sandals,Strydo,4850,2515
54,Footwear,Sports Shoes,SprintX,2174,1186
55,Beauty,Makeup,PureSkin,1245,617
56,Women's Apparel,Kurtis,Zariya,3318,1828
57,Women's Apparel,Tops,Meraki,1202,694
58,Beauty,Skincare,PureSkin,985,492
59,Women's Apparel,Dresses,Chiffon Co,2340,1157
60,Beauty,Skincare,Glowly,1286,743
61,Beauty,Haircare,PureSkin,524,282
62,Accessories,Sunglasses,TimeKeep,2434,1266
63,Footwear,Sports Shoes,Strydo,2111,1188
64,Men's Apparel,Shirts,Denimo,1446,622
65,Accessories,Belts,Solstice,1146,553
66,Beauty,Makeup,Glowly,919,430
67,Accessories,Sunglasses,Solstice,1202,547
68,Accessories,Sunglasses,Carryall,1955,1084
69,Women's Apparel,Leggings,Chiffon Co,3023,1581
70,Women's Apparel,Sarees,Meraki,1664,820
71,Footwear,Sports Shoes,ComfortWalk,4418,1869
72,Beauty,Skincare,PureSkin,262,150
73,Women's Apparel,Kurtis,Meraki,1116,638
74,Accessories,Belts,TimeKeep,768,441
