session_id,customer_id,session_date,device,channel
1,1,2025-08-27,Desktop,Direct
2,1,2025-10-01,Mobile,Organic Search
3,1,2025-10-20,Tablet,Direct
4,2,2025-08-29,Mobile,Organic Search
5,2,2025-10-18,Mobile,Paid Search
6,2,2025-11-08,Mobile,Affiliate
7,3,2025-06-22,Mobile,Paid Search
8,3,2025-07-12,Desktop,Paid Search
9,3,2025-07-21,Mobile,Email
10,3,2025-07-22,Mobile,Organic Search
11,3,2025-07-28,Mobile,Affiliate
12,3,2025-09-30,Mobile,Paid Social
13,3,2025-10-05,Desktop,Paid Search
14,4,2025-04-08,Mobile,Paid Social
15,4,2025-04-09,Desktop,Paid Social
16,4,2025-08-27,Desktop,Paid Social
17,4,2025-09-16,Mobile,Paid Social
18,4,2025-10-17,Mobile,Referral
19,4,2025-10-19,Mobile,Paid Social
20,4,2025-10-30,Mobile,Email
21,5,2025-09-16,Mobile,Email
22,6,2024-12-04,Mobile,Email
23,6,2024-12-07,Mobile,Email
24,6,2025-01-12,Desktop,Organic Search
25,6,2025-01-24,Mobile,Email
26,6,2025-02-06,Mobile,Email
27,6,2025-02-13,Desktop,Direct
28,6,2025-03-06,Mobile,Email
29,6,2025-03-29,Desktop,Organic Search
30,6,2025-04-02,Mobile,Email
31,6,2025-04-08,Desktop,Email
32,6,2025-05-05,Mobile,Direct
33,6,2025-05-30,Desktop,Email
34,6,2025-06-21,Desktop,Organic Search
35,6,2025-06-22,Mobile,Organic Search
36,6,2025-06-23,Mobile,Email
37,6,2025-06-28,Desktop,Referral
38,6,2025-09-17,Mobile,Email
39,6,2025-09-21,Desktop,Email
40,7,2025-07-16,Mobile,Paid Search
41,8,2025-06-11,Desktop,Paid Social
42,8,2025-06-30,Mobile,Affiliate
43,8,2025-07-12,Desktop,Paid Search
44,8,2025-07-19,Mobile,Organic Search
45,8,2025-09-24,Mobile,Organic Search
46,9,2025-06-20,Desktop,Email
47,9,2025-09-02,Desktop,Referral
48,10,2025-12-13,Mobile,Paid Search
49,11,2025-04-13,Desktop,Organic Search
50,11,2025-04-16,Tablet,Organic Search
51,11,2025-05-14,Desktop,Organic Search
52,11,2025-05-21,Desktop,Organic Search
53,11,2025-05-22,Mobile,Paid Search
54,11,2025-05-27,Desktop,Organic Search
55,11,2025-06-25,Mobile,Organic Search
56,11,2025-07-22,Desktop,Organic Search
57,11,2025-09-25,Mobile,Paid Search
58,11,2025-11-10,Desktop,Direct
59,11,2025-11-27,Mobile,Organic Search
60,12,2024-11-10,Desktop,Paid Social
61,12,2024-11-17,Mobile,Paid Social
62,12,2024-12-03,Mobile,Organic Search
63,12,2024-12-20,Desktop,Paid Social
64,12,2024-12-28,Mobile,Paid Social
65,12,2025-01-02,Mobile,Paid Social
66,12,2025-01-14,Mobile,Direct
67,12,2025-01-21,Mobile,Paid Social
68,12,2025-01-23,Mobile,Paid Social
69,12,2025-01-30,Mobile,Paid Social
70,12,2025-02-08,Mobile,Paid Social
